num.clusters	asw
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0.812160303611075
76	0.814152419746184
77	0.815277156823465
78	0.817543800553408
79	0.819802102261407
80	0.821841807044834
81	0.824030648720247
82	0.825908980126779
83	0.829709981098459
84	0.831425597273311
85	0.833128176010116
86	0.834815701199716
87	0.840765846087074
88	0.830851542829688
89	0.832437668064151
90	0.834008063162365
91	0.837248525812608
92	0.841332771932492
93	0.846023283009045
94	0.847375680334742
95	0.84884598030423
96	0.850062544047927
97	0.863286859725534
98	0.864978324207326
99	0.866096454789792
