num.clusters	asw
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0.710695293933184
51	0.715385410097483
52	0.720031081453081
53	0.724676322609178
54	0.729317601408885
55	0.733834285921763
56	0.738349234409228
57	0.742857897638397
58	0.745632488537869
59	0.749530580760875
60	0.755060207419982
61	0.764420478928127
62	0.768616859553202
63	0.772684376702463
64	0.775724431858289
65	0.780013256713261
66	0.783696659742053
67	0.787372096744897
68	0.79091891341691
69	0.794456721925208
70	0.797303835743685
71	0.800464741058726
72	0.803616853565938
73	0.806500510385507
74	0.809395074116496
