num.clusters	asw
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0.867550594049803
101	0.868425670912546
102	0.873737851102324
103	0.874616934344882
104	0.875382860385524
105	0.870452183150063
106	0.875692566472694
107	0.876351736960982
108	0.891479816637164
109	0.89214292614919
110	0.892960088162958
111	0.842600669404909
112	0.833686937222913
113	0.832788191300305
114	0.831750301464955
115	0.832174954577111
116	0.832605368453362
117	0.833043161357012
118	0.82653035614157
119	0.825214171718488
120	0.818385090956213
121	0.801245384877347
122	0.809147850799924
123	0.81574702216424
124	0.798483431030349
