num.clusters	asw
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0.798795555084278
126	0.79911351908194
127	0.799428317966888
128	0.798060898170149
129	0.80229787249373
130	0.803220919955167
131	0.80355147231141
132	0.801411032557466
133	0.799345317993412
134	0.796217811388857
135	0.784453979451235
136	0.781174777398206
137	0.781167480395805
138	0.786122658990003
139	0.79160657993912
140	0.792173993659692
141	0.794428275011633
142	0.805322088897488
143	0.803360862102266
144	0.804531439433081
145	0.79751559857287
146	0.798515108746796
147	0.79918739269138
148	0.802229454816579
149	0.803122281065982
