num.clusters	asw
2	0.112326829111277
3	0.155774525156422
4	0.177398686784201
5	0.200331210131666
6	0.225530781637802
7	0.247433063063087
8	0.274306004714467
9	0.298754032319457
10	0.319830943069817
11	0.34118545005617
12	0.361482089193264
13	0.402019364941002
14	0.413128255501004
15	0.426416837679733
16	0.435481431125135
17	0.446443178726425
18	0.46003982596883
19	0.473281247493044
20	0.485990755565374
21	0.498597663843333
22	0.510161127611535
23	0.521740779128639
24	0.533181456861262
25	0.542258944319252
