num.clusters	asw
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0.553054238534927
26	0.56145932178002
27	0.57115021895089
28	0.580455443984367
29	0.589379414272277
30	0.597664258435918
31	0.604427300052592
32	0.612223996645128
33	0.618996078855781
34	0.625665470355728
35	0.629716382258856
36	0.636245264749065
37	0.64265918239778
38	0.648805467727281
39	0.654834122824654
40	0.660800754526337
41	0.666099195380045
42	0.671384728406832
43	0.676539114633305
44	0.681445820902975
45	0.686349322296628
46	0.691252057754764
47	0.696432400388693
48	0.701209691186738
49	0.70598479615358
